GID	DOI	DOI_GLIS_url
374	"10.18730/CFJSZ"	"https://ssl.fao.org/glis/doi/10.18730/CFJSZ"
775	"10.18730/B0J4K"	"https://ssl.fao.org/glis/doi/10.18730/B0J4K"
861	"No DOI assigned"	"No DOI assigned"
2166	"10.18730/F2V12"	"https://ssl.fao.org/glis/doi/10.18730/F2V12"
2167	"10.18730/BF2PB"	"https://ssl.fao.org/glis/doi/10.18730/BF2PB"
2457	"10.18730/D6B2T"	"https://ssl.fao.org/glis/doi/10.18730/D6B2T"
2465	"10.18730/BE5TC"	"https://ssl.fao.org/glis/doi/10.18730/BE5TC"
3400	"10.18730/B5K8*"	"https://ssl.fao.org/glis/doi/10.18730/B5K8*"
3881	"10.18730/B708X"	"https://ssl.fao.org/glis/doi/10.18730/B708X"
3889	"10.18730/BRMM~"	"https://ssl.fao.org/glis/doi/10.18730/BRMM~"
3895	"10.18730/B2M3N"	"https://ssl.fao.org/glis/doi/10.18730/B2M3N"
4248	"10.18730/BJ23Y"	"https://ssl.fao.org/glis/doi/10.18730/BJ23Y"
4570	"10.18730/EV700"	"https://ssl.fao.org/glis/doi/10.18730/EV700"
5131	"10.18730/B20XU"	"https://ssl.fao.org/glis/doi/10.18730/B20XU"
6387	"10.18730/BEGX$"	"https://ssl.fao.org/glis/doi/10.18730/BEGX$"
6973	"10.18730/CF2V2"	"https://ssl.fao.org/glis/doi/10.18730/CF2V2"
11279	"No DOI assigned"	"No DOI assigned"
11597	"No DOI assigned"	"No DOI assigned"
12867	"10.18730/B29GF"	"https://ssl.fao.org/glis/doi/10.18730/B29GF"
12961	"10.18730/B70P6"	"https://ssl.fao.org/glis/doi/10.18730/B70P6"
13098	"10.18730/B2KVD"	"https://ssl.fao.org/glis/doi/10.18730/B2KVD"
13119	"10.18730/B2KWE"	"https://ssl.fao.org/glis/doi/10.18730/B2KWE"
13302	"10.18730/B2JMB"	"https://ssl.fao.org/glis/doi/10.18730/B2JMB"
13350	"10.18730/B2M0J"	"https://ssl.fao.org/glis/doi/10.18730/B2M0J"
13396	"10.18730/B2N9P"	"https://ssl.fao.org/glis/doi/10.18730/B2N9P"
13421	"10.18730/BHDP6"	"https://ssl.fao.org/glis/doi/10.18730/BHDP6"
13469	"10.18730/B29NM"	"https://ssl.fao.org/glis/doi/10.18730/B29NM"
13569	"10.18730/B9QNE"	"https://ssl.fao.org/glis/doi/10.18730/B9QNE"
13646	"10.18730/B1G6K"	"https://ssl.fao.org/glis/doi/10.18730/B1G6K"
13662	"10.18730/B2QY~"	"https://ssl.fao.org/glis/doi/10.18730/B2QY~"
13728	"10.18730/B2N1E"	"https://ssl.fao.org/glis/doi/10.18730/B2N1E"
13767	"10.18730/B3PQK"	"https://ssl.fao.org/glis/doi/10.18730/B3PQK"
13954	"10.18730/B4GQ0"	"https://ssl.fao.org/glis/doi/10.18730/B4GQ0"
14103	"10.18730/B2AQH"	"https://ssl.fao.org/glis/doi/10.18730/B2AQH"
14431	"10.18730/B2910"	"https://ssl.fao.org/glis/doi/10.18730/B2910"
14772	"10.18730/BARX5"	"https://ssl.fao.org/glis/doi/10.18730/BARX5"
15200	"10.18730/BA9R1"	"https://ssl.fao.org/glis/doi/10.18730/BA9R1"
15292	"10.18730/BEJXR"	"https://ssl.fao.org/glis/doi/10.18730/BEJXR"
16004	"10.18730/B9DMT"	"https://ssl.fao.org/glis/doi/10.18730/B9DMT"
16069	"10.18730/B7JDJ"	"https://ssl.fao.org/glis/doi/10.18730/B7JDJ"
16122	"10.18730/BJ24Z"	"https://ssl.fao.org/glis/doi/10.18730/BJ24Z"
16170	"10.18730/BKYJ4"	"https://ssl.fao.org/glis/doi/10.18730/BKYJ4"
16262	"10.18730/B2PMW"	"https://ssl.fao.org/glis/doi/10.18730/B2PMW"
19627	"10.18730/B71Y9"	"https://ssl.fao.org/glis/doi/10.18730/B71Y9"
19630	"10.18730/BEK0V"	"https://ssl.fao.org/glis/doi/10.18730/BEK0V"
20010	"10.18730/B99J7"	"https://ssl.fao.org/glis/doi/10.18730/B99J7"
